F10-027,"Metalon B.Carb 50X50X1,5mm",6000mm,1,28," R$  6,30 ","0,00",18/10/2018
F10-028,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,920," R$  3,30 ","0,00",18/10/2018
F10-029,"Haste Roscada 1"" 1020",DIVERSAS MEDIDAS,88,88," R$  47,00 ","0,00",23/10/2018
F10-030,"Chapa Inox 304 5,00mm / DECAPADO",197x234mm,3,3," R$  61,08 ","0,05",24/10/2018
F10-031,"Chapa B.Carb 22,40mm / 7/8""",1200x3000mm,0,1870," R$  4,48 ","0,00",24/10/2018
F10-032,"Chapa B.Carb Xadrez 3,00mm / #11 / 1/8""",1200x3000mm,0,2000," R$  4,90 ","0,00",26/10/2018
F10-033,"Chapa B.Carb 8,00mm / 5/16""",1200x3000mm,0,3000," R$  3,80 ","0,00",29/10/2018
F10-034,"Chapa Inox 304 3,00mm / POLIDO",1200x2000mm,1,62," R$  25,54 ","0,00",26/10/2018
F10-035,"Chapa B.Carb 3,00mm / 1/8""",1200x3000mm,0,5802," R$  2,20 ","0,00",26/10/2018
F10-035,"Chapa B.Carb 2,65mm / #12 / FQ",1200x3000mm,0,1106," R$  3,00 ","0,00",26/10/2018
F10-035A,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,1747," R$  4,29 ","0,00",26/10/2018
F10-036,"Chapa B.Carb 3,00mm / 1/8""",1200x3000mm,0,4000," R$  4,10 ","0,00",29/10/2018
F10-037,"Tubo B.Carb 25,40 X 1,20mm / 1""",6000mm,1,44," R$  5,50 ","0,00",29/10/2018
F10-038,"Ferro Redondo B.Carb 2""",,1,29," R$  5,94 ","0,00",30/10/2018
F10-038A,"Chapa B.Carb 50,80mm / 2""",DIVERSAS MEDIDAS,0,32," R$  3,30 ","0,00",29/10/2018
F10-038B,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,920," R$  1,00 ","0,00",29/10/2018
F10-039,"Chapa Aluminio Liso 1,50mm",1200x3000mm,0,50," R$  19,60 ","0,00",30/10/2018
F10-040,"Tubo B.Carb 25,40 X 0,90mm / 1""",6000mm,0,1," R$  120,00 ","0,00",30/10/2018
F10-041,"Chapa B.Carb 9,50mm / 3/8""",1200x3000mm,0,2000," R$  4,29 ","0,00",05/11/2018
F10-041A,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,1520," R$  2,80 ","0,00",30/10/2018
F10-042,"Chapa B.Carb Galv 0,50mm / #26",900x3000mm,0,54," R$  6,90 ","0,00",28/11/2018
F10-042,"Chapa B.Carb Galv 0,50mm / #26",800x3000mm,0,77," R$  6,90 ","0,00",28/11/2018
F10-043,"Chapa B.Carb 1,20mm / #18 / FF",1200x3000mm,0,2000," R$  4,10 ","0,00",12/11/2018
F10-043,"Chapa B.Carb 12,70mm / 1/2""",1200x3000mm,0,2000," R$  3,60 ","0,00",20/11/2018
F10-044,"Chapa Inox 304 0,80mm / POLIDO",1200x3000mm,3,72," R$  25,21 ","0,00",12/11/2018
F10-045,"Ferro Chato B.Carb 1/2"" X 3/16""",6000mm,0,4," R$  5,00 ","0,00",12/11/2018
F10-046,Chapa B.Carb Retalhos,DIVERSAS MEDIDAS,0,780," R$  3,30 ","0,00",08/11/2018
F10-047,"Chapa B.Carb 16,00mm / 5/8""",1200x3000mm,0,705," R$  4,20 ","0,00",13/11/2018
F10-047A,"Chapa Inox 304 1,50mm / DECAPADO",DIVERSAS MEDIDAS,0,20," R$  16,00 ","0,00",10/11/2018
